destination_name,search_name,country,destination_type,latitude,longitude,winter_avg_temp,winter_avg_daily_rain,spring_avg_temp,spring_avg_daily_rain,summer_avg_temp,summer_avg_daily_rain,autumn_avg_temp,autumn_avg_daily_rain
Kefalonia,Argostoli,Greece,island,38.18,20.49,12.33,3.85,16.48,2.02,27.01,0.24,20.39,4.0
Santorini,Santorini,Greece,island,36.41,25.46,14.54,1.46,17.62,0.73,26.66,0.11,21.9,0.44
Funchal,Funchal,Portugal,island,32.65,-16.91,16.25,2.99,17.54,2.75,22.43,1.76,20.83,2.7
Mallorca,Palma de Mallorca,Spain,island,39.57,2.65,12.02,1.52,16.44,1.87,26.25,0.94,19.9,1.71
Sardinia,Cagliari,Italy,island,39.22,9.11,12.04,1.99,16.03,1.61,26.08,0.22,20.2,0.96
Dubrovnik,Dubrovnik,Croatia,coastal_city,42.65,18.09,8.69,5.13,14.44,5.9,25.23,2.06,16.9,6.47
Split,Split,Croatia,coastal_city,43.51,16.44,8.82,3.73,14.85,4.51,26.07,2.09,17.24,5.54
Lisbon,Lisbon,Portugal,coastal_city,38.71,-9.14,12.46,2.67,16.18,1.85,22.53,0.34,18.69,2.58
Barcelona,Barcelona,Spain,coastal_city,41.38,2.18,9.9,1.36,14.87,2.25,24.76,1.57,18.1,2.73
Nice,Nice,France,coastal_city,43.7,7.27,9.45,2.74,14.64,3.11,24.64,0.84,17.1,3.03
Amalfi,Amalfi,Italy,coastal_city,40.63,14.6,10.6,3.92,15.13,3.46,25.71,1.3,18.47,4.56
Cinque Terre,Monterosso al Mare,Italy,region,44.15,9.66,9.7,4.55,14.55,5.26,24.3,2.58,17.11,6.84
Interlaken,Interlaken,Switzerland,mountain,46.69,7.86,5.07,3.65,10.38,5.85,20.05,5.28,12.7,5.64
Zermatt,Zermatt,Switzerland,mountain,46.02,7.75,-1.52,2.69,2.58,5.18,12.29,1.51,5.44,3.79
Lake Bled,Lake Bled,Slovenia,mountain,46.36,14.09,2.85,3.41,10.2,4.79,20.42,3.55,11.34,5.49
Prague,Prague,Czech Republic,city,50.09,14.42,2.44,1.42,10.46,1.62,20.73,2.17,10.94,2.07
Vienna,Vienna,Austria,city,48.21,16.37,3.05,1.23,11.4,2.16,22.02,1.86,11.84,2.56
Budapest,Budapest,Hungary,city,47.48,19.15,2.93,1.38,12.19,1.83,23.28,1.84,12.2,1.99
Paris,Paris,France,city,48.86,2.32,5.88,2.19,11.66,2.44,20.04,2.94,13.04,2.8
Amsterdam,Amsterdam,Netherlands,city,52.37,4.89,5.52,2.84,10.31,2.55,17.72,2.62,12.14,3.57
