destination_name,search_name,country,destination_type,latitude,longitude,winter_avg_temp,winter_avg_daily_rain,spring_avg_temp,spring_avg_daily_rain,summer_avg_temp,summer_avg_daily_rain,autumn_avg_temp,autumn_avg_daily_rain,search_radius_m,restaurant_count,cafe_count,bar_count,museum_count,park_count,nearby_beach_count,food_score,nightlife_score,culture_score,nature_score,beach_score
Kefalonia,Argostoli,Greece,island,38.18,20.49,12.33,3.85,16.48,2.02,27.01,0.24,20.39,4.0,15000,138.0,53.0,30.0,8.0,5.0,65.0,3.26,2.68,6.15,0.64,90.28
Santorini,Santorini,Greece,island,36.41,25.46,14.54,1.46,17.62,0.73,26.66,0.11,21.9,0.44,15000,302.0,75.0,53.0,15.0,4.0,24.0,6.43,4.73,11.54,0.51,33.33
Funchal,Funchal,Portugal,island,32.65,-16.91,16.25,2.99,17.54,2.75,22.43,1.76,20.83,2.7,15000,565.0,306.0,288.0,31.0,38.0,13.0,14.85,25.69,23.85,4.83,18.06
Mallorca,Palma de Mallorca,Spain,island,39.57,2.65,12.02,1.52,16.44,1.87,26.25,0.94,19.9,1.71,15000,885.0,721.0,204.0,20.0,394.0,72.0,27.38,18.2,15.38,50.06,100.0
Sardinia,Cagliari,Italy,island,39.22,9.11,12.04,1.99,16.03,1.61,26.08,0.22,20.2,0.96,15000,349.0,264.0,12.0,38.0,443.0,23.0,10.45,1.07,29.23,56.29,31.94
Dubrovnik,Dubrovnik,Croatia,coastal_city,42.65,18.09,8.69,5.13,14.44,5.9,25.23,2.06,16.9,6.47,8000,201.0,63.0,66.0,18.0,20.0,34.0,4.5,5.89,13.85,2.54,47.22
Split,Split,Croatia,coastal_city,43.51,16.44,8.82,3.73,14.85,4.51,26.07,2.09,17.24,5.54,8000,242.0,318.0,87.0,18.0,112.0,71.0,9.55,7.76,13.85,14.23,98.61
Lisbon,Lisbon,Portugal,coastal_city,38.71,-9.14,12.46,2.67,16.18,1.85,22.53,0.34,18.69,2.58,8000,3083.0,1468.0,360.0,112.0,466.0,29.0,77.58,32.11,86.15,59.21,40.28
Barcelona,Barcelona,Spain,coastal_city,41.38,2.18,9.9,1.36,14.87,2.25,24.76,1.57,18.1,2.73,8000,3996.0,1648.0,1121.0,96.0,787.0,16.0,96.22,100.0,73.85,100.0,22.22
Nice,Nice,France,coastal_city,43.7,7.27,9.45,2.74,14.64,3.11,24.64,0.84,17.1,3.03,8000,873.0,241.0,146.0,25.0,135.0,55.0,18.99,13.02,19.23,17.15,76.39
Amalfi,Amalfi,Italy,coastal_city,40.63,14.6,10.6,3.92,15.13,3.46,25.71,1.3,18.47,4.56,8000,174.0,41.0,34.0,11.0,30.0,18.0,3.67,3.03,8.46,3.81,25.0
Cinque Terre,Monterosso al Mare,Italy,region,44.15,9.66,9.7,4.55,14.55,5.26,24.3,2.58,17.11,6.84,15000,335.0,88.0,96.0,15.0,41.0,33.0,7.21,8.56,11.54,5.21,45.83
Interlaken,Interlaken,Switzerland,mountain,46.69,7.86,5.07,3.65,10.38,5.85,20.05,5.28,12.7,5.64,5000,105.0,16.0,17.0,3.0,18.0,9.0,2.06,1.52,2.31,2.29,12.5
Zermatt,Zermatt,Switzerland,mountain,46.02,7.75,-1.52,2.69,2.58,5.18,12.29,1.51,5.44,3.79,5000,103.0,12.0,11.0,2.0,2.0,0.0,1.96,0.98,1.54,0.25,0.0
Lake Bled,Lake Bled,Slovenia,mountain,46.36,14.09,2.85,3.41,10.2,4.79,20.42,3.55,11.34,5.49,5000,49.0,21.0,8.0,1.0,4.0,2.0,1.19,0.71,0.77,0.51,2.78
Prague,Prague,Czech Republic,city,50.09,14.42,2.44,1.42,10.46,1.62,20.73,2.17,10.94,2.07,3000,1492.0,751.0,364.0,119.0,185.0,0.0,38.24,32.47,91.54,23.51,0.0
Vienna,Vienna,Austria,city,48.21,16.37,3.05,1.23,11.4,2.16,22.02,1.86,11.84,2.56,3000,1654.0,710.0,350.0,130.0,296.0,1.0,40.3,31.22,100.0,37.61,1.39
Budapest,Budapest,Hungary,city,47.48,19.15,2.93,1.38,12.19,1.83,23.28,1.84,12.2,1.99,3000,48.0,22.0,2.0,8.0,102.0,0.0,1.19,0.18,6.15,12.96,0.0
Paris,Paris,France,city,48.86,2.32,5.88,2.19,11.66,2.44,20.04,2.94,13.04,2.8,3000,4612.0,1254.0,906.0,98.0,189.0,0.0,100.0,80.82,75.38,24.02,0.0
Amsterdam,Amsterdam,Netherlands,city,52.37,4.89,5.52,2.84,10.31,2.55,17.72,2.62,12.14,3.57,3000,1531.0,552.0,194.0,74.0,114.0,1.0,35.51,17.31,56.92,14.49,1.39
